Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.104415,-9.1754362,35.9,23.2,12.8,855,31.3,33.9,94.8,11.85,0.16,5.68,1.5,26.6,0.594,0.72,0.97,C1
53.3266178,-9.1473591,80.8,22.4,11.6,624,19.5,31.4,65.4,4.88,0.157,6.7,0.55,21.1,0.192,0.81,1.615,C1
53.16475,-9.0641057,31,14.85,12.1,642,17.25,23.6,43.2,27,0.121,4.73,0.63,15.55,0.356,0.63,1.145,C1
53.109837,-9.0662293,42.2,26.5,14.55,1610,44.5,57.3,83.2,15,0.233,7.68,2.57,30,0.996,0.81,1.455,C1
53.1270579,-9.0362397,22.6,33.3,5.24,631,19.25,43.2,58.8,8.75,0.222,4.18,1.14,30.2,0.401,0.94,0.667,C1
53.4089296,-9.1909414,61.3,33.9,13.45,530,24.4,40.1,67.3,5.81,0.1235,6.6,0.67,23.6,0.263,0.64,1.155,C1
53.3392119,-6.6947783,69.1,19.8,25.3,1060,30.5,41.8,173.5,9.08,0.0993,9.23,3.64,28,0.877,1.88,1.495,C1
53.3622419,-9.1827144,26.3,31.6,5.76,292,11.55,40.6,48.4,3.65,0.176,2.89,1.27,32,0.243,1.18,0.887,C1
53.3953317,-9.2415235,89.1,30.8,11.8,536,24.3,37,57.4,5.22,0.118,8.1,0.98,27.1,0.184,0.69,1.075,C1
53.3828954,-9.2250211,56.6,39.3,11.8,382,16.5,38.5,43.8,3.56,0.1085,6.46,0.74,23.5,0.141,0.73,1.635,C1
53.179257,-8.920055,37.7,22.8,31.1,797,27,29.8,66,20.6,0.109,5.2,1,18.3,0.363,1.16,0.877,C1
53.2507839,-9.4556897,6.9,0.7,2.61,4.4,0.74,1.6,4,0.86,0.102,0.204,0.77,7.44,0.106,0.2,0.29,C1
53.3603243,-6.9042563,84.8,29.1,20.4,834,41.9,35.2,142.5,7.76,0.099,11.35,1.59,31.8,0.508,0.76,0.97,C1
53.6741146,-8.8907316,25.3,12.9,42.3,198.5,13.7,21.5,34,6.82,0.0781,3.59,0.86,13.1,0.272,0.57,1.025,C1
53.2694046,-9.3325275,6.5,0.68,1.92,4.8,0.83,1.5,19.6,0.95,0.0427,0.18,0.38,7.93,0.105,0.2,0.147,C1
53.2641667,-9.4264543,4.4,0.49,1.42,3.4,0.49,1.1,22.1,1.25,0.0473,0.122,0.22,8.18,0.141,0.17,0.087,C1
53.1560194,-6.8453215,48.2,18.95,6.74,756,13.2,26.4,89.3,6.18,0.0834,7.36,0.96,30,0.41,0.67,0.42,C1
53.6271086,-8.9177193,33,17.25,41.4,163,18.55,28.9,43.8,6.12,0.071,3.6,0.73,14.5,0.282,0.61,1.33,C1
53.1293202,-8.8541957,44.2,25.8,9.7,1105,31,34.8,69.9,9.9,0.1355,6.8,0.83,22.1,0.453,0.63,0.753,C1
53.3232932,-8.9821734,55.4,28.3,10.25,517,22.1,39.1,63.8,4.61,0.118,5.69,1,21.1,0.268,0.67,1.305,C1
53.1653522,-8.8849942,50.2,27.1,16.95,1270,28.5,36.3,76.4,12.1,0.148,5.91,1.14,21,0.451,0.73,0.84,C1
53.2718343,-8.8548748,41.4,29.3,27.4,591,34.3,47.7,62.5,10.95,0.138,6.45,1.57,17.95,0.477,0.7,1.27,C1
53.199204,-6.5144649,56.4,24.4,14.9,637,22.5,41.8,80.3,10.95,0.158,8.52,1.65,24.6,0.542,0.92,0.907,C1
