Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.1247957,-8.4373295,94,26.7,27.4,926,41.9,22.9,83.6,14.35,0.1195,10.15,1.3,29.4,0.351,0.62,1.695,C4
53.7052499,-7.7425988,157.5,11.8,36.6,268,15.4,13.7,100.5,6.87,0.1095,3.59,0.75,42.9,0.752,3.31,2.66,C4
53.2237641,-8.2256456,60.9,26.2,23.4,126,29,33.8,49,5.16,0.127,5.98,0.52,15.75,0.171,0.9,1.165,C4
53.9023217,-8.3247753,30.5,4.89,68.7,44.9,7.28,6,29,4.1,0.073,1.85,0.84,17.9,0.44,0.89,1.15,C4
53.615937,-7.6545213,179,21,30.4,2080,34.1,33.2,198.5,10.25,0.1055,10.15,1.54,33.3,0.786,0.88,1.245,C4
53.5997415,-7.67509,173,21.9,40.5,1040,36.6,28.8,129.5,9.89,0.112,9.67,1.51,30,0.705,1.09,1.82,C4
53.1360906,-8.2232292,13.7,1.11,3.52,10.2,1.81,2.2,48.7,2.33,0.1195,0.349,0.29,89.3,1.245,0.62,0.16,C4
53.1503936,-8.2511333,22.3,1.04,4.14,13.3,1.59,2.6,48.1,2.68,0.178,0.293,0.31,53.9,1.07,0.8,0.133,C4
53.4917625,-7.8377268,117.5,14.2,35.2,522,41.8,24.9,84.1,31.6,0.0822,7.49,3.21,20.8,0.782,0.69,4.13,C4
53.4702104,-8.0104388,34.9,3.43,12.4,332,17.4,5.6,29.3,3.15,0.0408,1.89,1.35,13.35,0.372,1.21,12.65,C4
53.579483,-8.347345,166.5,14.05,35.2,319,31.3,24.7,38.5,26.8,0.1025,7.45,1.33,18.65,0.456,0.47,8.58,C4
53.3826296,-8.1102457,26.2,1.52,4.21,85.8,9.93,4.4,23,23.9,0.0363,5.08,1.69,11.1,0.231,0.35,0.849,C4
53.7614832,-8.2583537,67.5,28.3,17.15,2260,40.8,54,100.5,25.3,0.1415,12.7,1.97,31.2,0.296,0.83,1.395,C4
53.7977209,-8.2993073,52.6,37.4,18.2,1770,54.9,51.2,159,15.85,0.184,16.75,2.58,18.65,0.34,1.01,1.315,C4
53.3641857,-8.1344422,42,11.85,18.9,749,18.85,16.5,43,24,0.0635,6.4,3.15,13.5,0.397,0.42,1.78,C4
53.2011077,-8.2548112,59,21.4,15.3,203,36.8,34.7,35.8,7.72,0.1345,8.61,0.89,17.4,0.209,0.82,0.723,C4
53.5841233,-8.403385,61.3,10.65,46.3,698,29.9,19.3,51.5,16.45,0.0988,14.5,1.15,23.7,0.603,0.87,7.52,C4
53.4378467,-7.826512,66.5,22.3,15.15,1415,37.8,36.2,121.5,9.3,0.095,12.15,1.84,23.4,0.56,1.79,0.965,C4
53.907903,-8.2351081,33.2,16.15,19.15,67.3,19.1,27.4,45.4,8.7,0.141,4.34,0.38,24.4,0.212,1.7,0.793,C4
53.9183311,-8.2270091,45.6,20.5,22.4,311,24.9,28.4,64.5,9.1,0.1665,6.85,0.73,49.5,0.294,1.3,1.455,C4
53.9028199,-8.2916591,56.2,14.3,78.9,406,23.8,22.3,62.3,8.8,0.266,6.66,1.07,32.8,0.56,1.83,2.08,C4
53.8148013,-8.0537282,167,11.55,28.1,202,10.55,25,25.3,5.89,0.0834,2.87,0.78,18.45,0.342,0.74,3.2,C4
53.5784676,-7.8331218,144,16.4,23.5,609,23.7,27.4,55.9,19.2,0.0757,5.92,3.12,20.7,0.709,0.6,6.34,C4
53.7944755,-8.1657193,93.3,13.25,43.4,423,25.7,27.6,33.9,9.06,0.0962,4.99,0.8,16.1,0.539,0.76,12.1,C4
53.8884468,-8.0498677,89.6,6.76,40.3,375,15.6,14.3,33.8,7.57,0.0648,3.78,1.91,17,0.599,0.92,12.1,C4
53.8669217,-8.0068855,123.5,6.24,21.7,174.5,7.68,14.1,35.7,2.85,0.063,1.86,1.57,23.3,0.319,0.65,2.76,C4
53.4392571,-7.9516862,47.1,3.38,18.3,82.6,22.6,6.1,25.6,3.94,0.0582,1.055,2.19,50,0.494,0.71,15.85,C4
53.8137372,-8.0774552,87.3,14.55,48.1,264,22.3,20.9,43.9,12.85,0.0895,6.1,1.22,19.35,0.687,1.45,7.74,C4
53.4541951,-7.7443625,70.4,19.85,19,1300,35.9,26.8,91.5,7.25,0.112,11.15,1.24,19.8,0.412,2.58,1.15,C4
53.4549465,-7.8701712,33.3,15.15,29.2,198.5,50.1,38.4,101,15.8,0.0634,9.18,1.89,20.8,1.3,0.65,1.88,C4
53.6369373,-7.8316055,110.5,8.19,14.75,620,14.6,25.7,28.9,22.4,0.0688,2.85,1.91,17.35,0.393,0.44,3.64,C4
53.4398026,-7.7762749,58.1,15.1,34.6,214,46.7,31.6,89.6,13.3,0.0811,8.26,1.61,17.5,0.757,0.4,4.32,C4
53.7234158,-7.9553731,77.5,8.84,59.6,164,10.1,12.1,48.7,5.59,0.0661,2.68,0.68,41.4,0.485,1.4,0.715,C4
53.2169044,-7.6791799,50.3,2.94,6.56,1365,24.2,4.4,39.4,10.75,0.0235,4.77,1.37,5.59,0.508,0.13,6.86,C4
53.4868669,-7.8948091,49.9,11.65,37,211,48,36.5,70.4,13.05,0.0592,7.58,1.36,13.3,1.195,0.44,6.65,C4
53.5091914,-7.8433724,60.8,7.44,19.7,373,24.1,11.2,69,6.73,0.0811,4.54,2.68,17.8,0.756,0.42,8.34,C4
53.221153,-7.6656143,70.8,3.96,8.47,2080,4.84,13.5,34.5,5.42,0.0649,1.065,2.17,8.07,0.585,0.24,3.78,C4
53.4231772,-7.2681848,51.1,18.35,29.6,185,34,24.9,77.3,6.6,0.1375,4.27,0.75,23.1,0.556,0.7,6.49,C4
53.7947504,-7.8958128,84.5,15.6,65.8,430,20.9,21.5,88,13.7,0.1055,5.84,0.93,45.8,0.969,2.14,1.29,C4
53.1341496,-7.6660069,202,14.7,16.75,2120,19.3,18,51.7,7.46,0.0793,6.67,0.58,18.55,0.888,0.56,1.05,C4
53.2070033,-7.7381452,10.9,1.65,4.46,121.5,9.15,2,41.8,3.85,0.0104,5.06,1.38,1.35,0.145,0.04,1.255,C4
53.5639814,-7.6256219,174.5,28.1,25.8,398,33,47.6,81.3,7.99,0.1235,7.86,0.9,29.8,0.404,0.74,1.735,C4
53.6689898,-7.7350285,141.5,24.6,27.2,1430,27.2,27.5,114.5,11.7,0.0953,12.2,1.29,23.4,0.532,3.64,1.74,C4
53.5988067,-7.7720509,105.5,19.3,17.35,1940,27.1,23.5,116.5,12.25,0.0955,8.84,1.55,27.4,0.657,0.72,1.335,C4
53.5992808,-7.5975175,147.5,13.3,26.7,1275,26.8,18.6,117.5,11.5,0.0801,7.99,3.16,23.2,0.605,0.55,15.1,C4
53.4071841,-7.7232933,110,15.35,22.6,384,24.5,20.7,71.4,5.44,0.101,5.18,0.91,29.4,0.72,1.45,4.33,C4
53.4337237,-7.3306093,66.6,27.6,30.5,687,48.2,42.4,123,18,0.143,10.6,2.33,27,0.707,0.98,1.815,C4
53.4546994,-7.8016209,108.5,22.3,33.8,439,40.9,37.5,74.5,12.95,0.111,8.64,1.79,22.8,0.517,0.55,8.85,C4
53.4565451,-7.6599575,160.5,10.1,12.9,364,18.35,17.3,47.8,6.42,0.103,4.29,1.85,33.6,0.79,0.76,2.92,C4
53.5357506,-7.1757664,90,21.7,31.8,2260,59.2,27.4,170,8.89,0.1155,13.15,1.16,20.5,0.596,0.75,1.355,C4
53.632698,-7.6787518,197,16.9,40.4,349,40.5,26.7,150,6.88,0.1045,5.47,0.82,32.7,0.739,2.29,8.04,C4
53.2718103,-7.7716083,183,21.1,32.8,769,34,24.5,129,20.8,0.122,10.5,1.22,41.8,0.503,0.9,1.07,C4
53.4364179,-7.6595617,228,21.1,14.3,672,29.9,29.2,123.5,6.78,0.103,7.52,1.14,32.3,0.475,0.56,0.804,C4
53.5099907,-7.362281,23,6.68,13.5,139.5,16.85,7.1,42,2.7,0.0809,1.49,2.3,30.5,0.763,1.01,6.53,C4
53.3247975,-7.7180945,105.5,21.7,35.4,888,31.3,22.1,99.4,14.85,0.1385,9.4,0.97,30.2,0.539,1.16,1.045,C4
53.5439738,-7.623189,184.5,27.7,28.3,260,31.9,35.1,74.8,7.91,0.1605,7.55,1.23,23.5,0.266,0.8,4.95,C4
53.3816392,-7.6541687,227,16.25,11.4,462,17.55,18.2,74,7.59,0.0949,5.87,0.71,34.5,0.383,0.54,0.947,C4
53.3056764,-7.5728204,88,9.85,15.6,218,25.8,14.1,59.3,16,0.063,6.7,1.83,16.65,0.424,0.36,5.23,C4
53.2966266,-7.7131962,117,5.4,12.35,253,12.95,7.4,58.9,7.33,0.0441,3.17,1.74,14.1,0.319,0.71,1.16,C4
53.3474808,-7.8117145,152.5,11.75,11.95,70.7,14.95,11.4,50.9,2.89,0.0872,3.89,0.76,21.7,0.357,0.47,0.342,C4
53.351673,-7.5861155,120,26,18,1305,42.5,29.5,132.5,13.1,0.1535,12.25,1.15,48.9,0.602,3.63,1.185,C4
53.6037675,-7.8085502,94.7,19.2,26.7,1950,24.5,23.3,97.3,10.35,0.275,7.65,1.13,22.4,0.563,1.01,1.47,C4
53.2924057,-7.653151,34.7,5.01,8.53,203,13.05,6.6,52.2,10.05,0.0599,4.58,1.44,18,0.402,0.39,6.16,C4
53.5305008,-7.4465416,54.2,23,16.6,1575,28.7,38.2,111,8.46,0.185,11.65,2.57,20.9,0.652,0.65,1.02,C4
53.2167211,-7.7403612,28.4,4.61,11.4,74,13.1,5.1,31,3.9,0.0216,2.65,2.63,5.46,0.17,0.16,0.621,C4
