Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.5280787,-8.3513428,90.6,13.4,21.6,539,16.4,17.4,58.2,54.7,0.0828,5.41,1.73,37.3,0.269,0.45,3.63,C5
53.5652603,-8.4072202,86.3,10.4,27.3,16.2,14.6,23.5,32.7,35.8,0.133,5.34,1.84,52,0.346,0.46,1.14,C5
53.3647637,-8.0100984,112.5,14.15,27.2,1415,34.6,20.1,68.3,82.8,0.0931,11.8,4.47,20.7,0.611,0.55,6.6,C5
53.7393566,-8.1370429,151,10.4,104.5,349,14.8,15,60,10.8,0.0885,3.68,1.45,29.1,0.867,3.52,8.41,C5
53.7946115,-8.2003024,61.6,14.45,98.5,597,39.2,24.5,43.4,14.5,0.0967,7.17,1.84,23.5,1.145,1.08,14.9,C5
53.6734761,-8.0720848,195.5,20.3,133,334,16.05,47.6,67.3,14.15,0.1415,3.73,0.59,31.8,0.782,1.19,3.6,C5
53.2721172,-7.1836218,148,1.54,6.75,293,31.1,1.5,155.5,26.9,0.00025,6.81,2.88,4.26,0.244,0.05,11.55,C5
53.2928795,-7.6880429,269,19.4,18.85,988,27.1,36.3,81.9,28.1,0.0999,6.11,1.98,53.6,0.923,0.63,4.59,C5
53.576658,-7.3488985,18.9,10.8,10.15,60.8,7.29,21,26.2,4.81,0.0659,1.435,0.84,18.6,0.318,4.54,0.994,C5
53.475109,-7.1448333,158.5,11.2,24.9,1215,36.2,18.2,83.7,17.55,0.0864,8.5,5.49,23.3,0.94,1.31,11.85,C5
53.5217982,-7.3154403,70.3,22.4,26.5,1190,53.3,30.8,132,10.95,0.1835,11.25,2.43,58.1,0.715,4.88,1.225,C5
53.5477406,-7.3222779,47.8,11.7,32.8,219,18.55,20.4,73.4,6.36,0.1365,3.87,1.04,82.4,0.636,4.53,1.285,C5
53.5214209,-7.2626018,78,8.16,33.8,679,31.1,13.5,122,16.7,0.124,7.38,3.09,25.6,0.574,1.86,1.12,C5
53.2575917,-7.4187271,188.5,11.7,12.85,1505,31.9,21.3,37.1,37.6,0.0767,5.13,5.37,15.35,0.522,0.43,6.31,C5
53.5406911,-7.1940123,53.2,11,23.7,651,42.9,22.9,62.8,14.5,0.0969,9.64,4.19,18.95,1.28,0.8,8.34,C5
53.5956478,-7.1038102,70.2,9.99,31,1135,30,18.6,84.1,8.05,0.0889,8.8,7.34,20.4,1.74,0.56,13,C5
