Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.3176023,-9.4776805,234,6.49,18.35,178,2.89,16.2,12.6,2.32,0.425,1.225,2.42,48.3,0.221,1.28,2.82,-1
53.24377,-9.4837794,16.5,4.87,13.8,336,2.37,10.9,10.6,2.28,0.776,1.51,29.8,34,0.197,0.9,8.93,-1
53.2325325,-9.4856222,29.9,8.33,41.7,331,3.41,24.4,29.9,6.83,15.55,6.21,62.8,54.9,0.18,1.16,33.9,-1
53.4100245,-9.3347076,87.1,11.65,6.6,3050,3.34,19.7,17.3,4.57,0.161,20,1.37,51.5,0.473,0.92,1.175,-1
53.3716125,-9.2447102,48.5,17.85,16.3,304,8.43,48.3,47,2.88,0.0933,4.74,1.05,18.3,0.162,0.63,1.31,1
53.2688306,-9.1833278,17.3,1.62,3.27,11.4,1.47,3.5,9.9,1.56,0.0925,0.376,0.62,43,0.454,0.53,0.437,1
53.2354759,-9.396744,144,7.14,36.3,280,2.36,22.4,26.8,20.1,0.1585,3.18,1.5,114.5,0.161,0.83,5.03,-1
53.1852291,-8.8824565,31.9,34.4,42.2,982,23.6,38.3,55.3,9.3,0.139,4.57,1.26,26.9,0.758,0.75,0.522,1
53.3232051,-9.2072978,8.6,0.97,3.58,20.1,1.36,2.4,29.3,2.23,0.1045,0.274,0.35,22.7,3.37,0.74,0.104,1
53.3974053,-9.2732902,12,2.02,2.84,11.8,1.25,4.4,16.6,0.78,0.0404,0.338,0.28,9.99,0.147,0.29,0.147,1
53.3548512,-9.1491384,103,74.8,50.3,1125,18.05,87.6,34.3,6.56,0.225,5.67,0.73,34.7,0.232,0.76,26.3,-1
53.290767,-9.3111624,108,0.81,3.32,11.1,0.96,2.1,10.1,3.05,0.132,0.269,0.79,25.4,0.302,0.6,0.141,1
53.3015655,-9.1257177,55.8,15.55,36.7,2500,8.13,24.8,73,9.96,0.652,5.51,1.56,91.6,0.326,0.91,3.84,-1
53.266874,-9.3037616,17.1,6.47,9.18,766,4.61,16,48.9,3.31,0.0864,3.82,1.3,11.7,0.281,0.78,2.91,1
53.271363,-9.1550677,65.7,4.49,4.58,22.6,1.49,8.8,9.4,1.48,0.0872,0.5,0.77,72.6,0.267,0.47,1.34,1
53.2885399,-8.8878522,82.4,41.6,40.1,1030,51.8,66.1,104.5,15.2,0.353,9.43,1.59,381,0.689,7.79,1.725,-1
53.2186052,-8.9775767,51.5,27.1,25.5,1565,69.2,53.7,79.4,19.35,0.278,18,2.44,29.6,0.873,0.74,2.1,-1
53.3224527,-9.0064804,7.9,1.11,2.64,15,1.22,1.6,25,0.72,0.0802,0.161,0.28,104,1.945,0.45,1.275,-1
53.2545157,-8.8897848,60.3,47.6,14.7,1210,68,102,63.3,15.45,0.323,8.89,5.47,31.4,0.911,0.99,1.92,-1
53.3472994,-9.010504,5.1,1.4,3.34,14.1,1.83,3,11,1.18,0.0284,0.241,0.21,7.48,0.207,0.19,0.764,1
53.6673042,-8.8637035,39.9,21.4,10.9,552,19.8,31.9,51.5,9.09,0.096,5.75,3.37,18.65,0.299,0.57,1.185,1
53.1983653,-8.9088525,61.5,26,20.7,138,30.9,25.3,38.9,4.56,0.1705,5.44,0.37,22.1,0.29,0.6,2.97,1
53.1266099,-9.1194979,52.7,29.7,19.3,1370,30.2,46.8,156,23.7,0.295,4.86,2.21,69.5,1.3,2.96,1.35,-1
53.2334197,-8.9168129,26.9,34.4,33.5,126,28.7,31.7,62.1,3.06,0.0826,2.71,0.59,44.1,0.565,0.79,8.56,1
53.2203531,-8.9480633,30,10.65,13.5,160,21,14.8,23.2,3.85,0.0845,3.04,0.52,26.5,0.248,0.48,2.26,1
53.1102768,-8.9438489,120.5,44.6,30.8,3300,48.9,61.9,106,16.6,0.345,14.9,1.53,35.4,0.817,1.02,1.5,-1
53.2476303,-9.313244,44.6,13.05,24.4,393,4.85,31.1,36.9,6.91,0.904,2.91,1.86,23.2,0.329,1.09,2.4,-1
53.1103369,-8.8269853,198,41.8,14.9,1490,38.8,55.8,58.1,9.86,0.1655,10.05,0.73,40.4,0.221,1,1.24,-1
53.9795361,-8.2558274,73,17.9,24.4,390,24.6,47.3,44.8,10.9,0.1015,3.46,1.6,55.1,0.936,1.26,12.5,1
53.5696915,-9.3124381,435,45.5,10.7,94.3,22.4,57.3,23.7,3.52,0.1115,5.74,0.19,23.1,0.224,0.73,13.85,-1
53.6337891,-9.2254433,70.5,15.65,12.7,485,15.55,27.1,60,4.95,0.0793,4.29,0.5,64.1,0.268,3.16,1.17,1
53.5767656,-9.1682814,49.5,23.8,10.35,376,32,27.6,83.1,13.45,0.111,7.31,1.51,19.25,0.449,0.63,0.998,1
53.6694302,-9.1855646,50,23.6,8.11,254,26.5,63.3,48.8,11.4,0.103,5.63,1.48,36.5,0.366,0.65,2.17,1
53.5365743,-9.3453359,508,26.7,24.1,1615,36.2,36.3,92.3,19.05,0.14,40.2,0.82,38.9,0.386,1.03,1.08,-1
53.3828738,-8.883411,80.3,33.3,10.2,1140,27,49,180,41.5,0.0944,8.72,1.25,17.55,0.27,0.52,1.48,-1
53.6518985,-8.8223887,57.3,10.45,42.5,613,11.85,15,24.4,22.6,0.0674,4.11,1.22,12.6,0.26,0.68,3.54,1
53.6301079,-9.1913402,50.3,18.9,20.3,216,16.15,17.5,48.2,2.75,0.0787,3.02,0.76,29.8,0.318,0.45,3.26,1
53.6112691,-9.258652,151.5,34,43.2,685,33,39.7,66.7,8.67,0.1535,10.7,0.55,23.7,0.282,4.79,2.06,-1
53.5073839,-9.2246132,217,55,30.9,373,44.6,62.5,76.3,4.67,0.231,16.05,0.34,33.7,0.245,1.03,1.995,-1
53.6142405,-8.8648416,44.7,10.35,19,119,18.6,12.7,33.9,16.8,0.0744,3.9,1.1,19.1,0.352,0.51,11.4,1
53.2143966,-6.9147664,112.5,32.7,25.5,1295,57.9,42.4,150.5,11.45,0.1145,15.3,1.09,34.4,0.729,1.05,0.981,-1
53.5291084,-9.2687769,76.4,9.93,4.62,72.8,4.31,10.2,6.9,1.4,0.0487,1.1,0.48,34.3,0.147,0.69,0.788,1
53.3460175,-8.8771385,82.4,26.8,14.25,1405,24.5,30.6,75.1,5.97,0.13,8.41,0.58,40.5,0.246,0.76,1.13,1
53.7280409,-7.9179769,14.3,1.22,3.99,24.4,1.71,2.6,38.3,1.65,0.0928,0.314,0.29,28.9,0.417,0.77,0.145,1
53.4330308,-9.0690941,2,0.43,2.54,650,2.83,0.5,2.2,0.15,0.0026,0.112,0.05,4.09,0.017,0.03,0.032,-1
53.4677332,-9.1861265,24.7,2.86,5.9,50.1,8.03,4,20.8,2.24,0.0266,0.73,2.15,12,0.258,0.25,4.64,1
53.5561091,-8.9578748,6.2,0.77,2.84,5.4,1.04,1.9,29.6,2.23,0.1235,0.173,0.22,27.1,0.36,0.57,0.082,1
53.8620688,-7.7024832,15,1.47,5.3,21.7,1.98,3.3,52.6,2.78,0.195,0.387,0.34,59.8,0.78,1.81,0.1,-1
53.2736479,-6.882701,16.3,1.58,5.73,15,2.31,3.9,38.5,3.84,0.184,0.463,0.48,51.5,0.854,1.42,0.146,1
53.3667836,-9.043474,90.6,33,35.4,677,21.5,38.9,70.1,12.5,0.5,7.37,0.58,25.7,0.393,1.15,1.72,-1
53.8257498,-8.8041938,26.3,13.95,7.39,496,15.4,19.6,41.6,6.8,0.0694,5.2,2.03,13.65,0.219,0.42,0.968,1
53.5279902,-8.8934542,6.2,0.92,3.23,11.6,1.98,2.7,13.8,0.6,0.0258,0.211,0.33,30.2,0.215,0.22,1.6,1
53.6477048,-9.1382719,7.9,3.92,5.53,23.8,2.57,6.6,12.4,1.34,0.0531,0.307,0.61,20.3,0.174,0.29,1.58,1
53.1675314,-6.916189,353,35.4,54.2,1020,34.2,29,134,8.62,0.799,8.97,1,133,0.734,2.55,0.917,-1
53.6798951,-9.1930774,32.9,13.7,6.82,913,14,22.7,50.9,3.42,0.0873,6.06,0.63,14.85,0.163,0.47,0.942,1
53.3224903,-6.6268244,86.2,26.4,17.55,834,37.7,41.2,136.5,9.29,0.118,8.57,1.42,85.4,0.802,0.87,0.89,1
53.8076964,-8.4508363,7.7,0.88,4.16,12.6,1.46,2.6,65.2,2.72,0.1375,0.218,0.27,32.2,0.588,1.18,0.073,1
53.2529,-6.9767341,151.5,5.62,7.55,68,14.9,9.5,50.2,16.75,0.018,1.37,6.44,4.16,0.186,0.15,2.47,-1
53.5428359,-8.8858773,58.9,20.3,22.6,1180,23.5,35.3,89.3,10.45,0.0953,5.65,1.1,15.7,0.372,0.83,1.35,1
53.411867,-8.8603111,16.1,10.8,4.86,97.7,7.22,15.6,23.1,2.03,0.0363,1.275,0.25,12.6,0.081,0.21,0.771,1
53.6144528,-8.9806967,32.9,21.1,42.1,512,28.7,35.4,61.3,12.6,0.0946,5.37,2.21,19.05,0.673,0.6,2.02,1
53.8909212,-7.6297143,13.9,0.95,3.23,10.4,1.82,1.7,13.4,1.08,0.0428,0.938,0.21,13.15,0.145,0.49,0.062,1
53.5016301,-9.2560956,58.1,28.1,17.65,630,26.5,33.1,58.5,20.6,0.123,6.26,3.58,19.6,0.643,0.63,2.34,1
53.742713,-7.5269453,26.9,14.85,37.5,140.5,11.75,19.2,63.8,3.67,0.0758,2.15,0.81,16.2,0.421,0.63,0.988,1
53.5397819,-9.1078924,81.8,27.1,17.65,1175,37,36,107.5,8.98,0.142,11.8,0.98,28.3,0.337,0.82,1.41,1
53.9990925,-8.2994974,41,3.46,4.72,20,2.45,5.5,10.9,2.27,0.0984,0.682,0.66,26.3,0.314,0.92,0.174,1
53.6267356,-9.0130248,31.4,13.75,26.7,126,20.9,17.7,63.5,3.89,0.0803,3.82,0.78,15.8,0.175,2.05,0.83,1
53.514982,-9.1902495,97.8,35.8,17.1,192.5,23.1,49.9,43.6,8.11,0.147,5.73,0.45,24.8,0.251,3.98,2.46,-1
53.9187894,-8.8100893,62.5,14.5,39.9,553,14.05,48.5,44.8,8.68,0.0826,7.77,0.72,23.2,0.292,1.18,0.868,1
53.2428775,-7.2390913,5,0.17,0.65,5.4,0.19,0.2,12.9,0.1,0.0009,0.056,0.13,0.151,0.005,0.06,0.013,-1
53.5724073,-9.0439096,6.8,0.81,2.7,4.2,1.28,1.9,10.8,0.97,0.0417,0.21,0.18,28.4,0.37,0.36,0.117,1
53.3405388,-6.7828835,233,4.67,11.95,1445,16.75,6.3,38.5,18,0.0885,5.77,6.26,27.2,0.55,0.61,3.99,1
53.4628938,-9.0943714,62.4,26.3,39.1,110,32.7,25.4,21.9,4.91,0.1065,2.35,0.57,50.2,0.54,0.46,17.75,-1
53.4875755,-8.828548,6.8,0.86,2.57,8.8,1.14,1.7,14.1,1.4,0.0642,0.237,0.19,55,0.914,0.28,0.131,1
53.5756193,-8.8629063,28.3,12.35,5.58,129,8,19.3,21.2,1.9,0.0982,1.745,0.38,16.2,0.148,0.62,3.63,1
53.2199316,-7.1812465,47.7,6.76,32,153.5,17.6,9.2,47.2,4.76,0.0702,4.57,1.47,11.75,0.372,0.39,3.26,1
53.6498415,-8.9622357,40.9,5.4,51.3,86.8,8.73,8,25.7,5.31,0.0997,2.12,0.64,10.85,0.18,0.48,1.84,1
53.7544734,-7.8683067,10.5,1.11,4.12,23.1,2.06,2.5,35.6,2.61,0.0986,0.263,0.2,38.4,0.557,0.68,0.068,1
53.7709682,-8.7717525,40.8,16.25,9.67,475,18,25.8,65.6,7.34,0.1225,5.3,0.96,62.2,0.347,4.16,1.65,-1
53.9098964,-8.566773,90,13.25,18.65,286,17.8,20.3,50.5,10.85,0.1385,6.24,0.74,46.3,0.428,3.03,1.34,1
53.8503137,-8.8014734,39.2,11.4,6.66,558,14,14.8,29.9,17.9,0.062,3.5,1.87,22.9,0.505,0.39,1.555,1
53.862815,-8.4651074,50.9,11.1,21,1125,20.4,15.5,38.7,32.1,0.0997,7.86,4.48,18,0.395,0.77,2.2,1
53.9588136,-8.7790094,22.7,2.82,5.37,46.9,1.51,7.3,28.3,1.45,0.063,0.404,0.57,236,0.213,1.17,0.432,-1
53.9893045,-8.6150189,46.4,44,29.2,273,21.8,35.7,10.5,3.62,0.0672,1.705,0.49,139.5,1.08,0.4,20.1,-1
53.9428771,-8.5911282,26.9,0.97,3.78,108,1.17,2.2,29.9,5.3,0.15,0.298,0.25,39.2,0.402,0.82,0.089,1
53.7948475,-8.6846774,54,3.51,4.02,46.5,3.25,6.6,14.5,35.3,0.0667,0.83,1.53,23.9,0.211,0.48,0.359,1
54.067243,-8.1655023,83.3,30.7,52.5,1705,15.3,86,47,16.65,0.1555,28.6,17.55,30.9,1.365,1.18,5.79,-1
53.761109,-8.6881013,1100,17.7,9.33,15000,17.9,37.2,132,72.4,0.0679,15.5,4.03,19,0.35,0.51,3.03,-1
53.3083232,-8.4940322,48.4,29.9,26.9,156.5,33.5,35.2,110,8.73,0.1325,6.93,0.79,17.8,0.244,0.81,4.94,1
53.9594535,-8.1583886,124,38.6,29.3,2400,50.4,63,238,13.5,0.148,11.35,2.8,27.8,0.591,1.71,2.53,-1
54.0879175,-8.1423876,74.4,16.1,34.2,46.7,17.35,26.1,30.8,10.55,0.1765,3.73,9.48,27.1,0.918,0.9,3.02,1
54.0854473,-8.0847417,84.6,23,113.5,130,16.1,78.9,34.6,13.05,0.148,5.74,16.35,27.2,0.901,1.82,4.75,-1
54.0474406,-8.1024349,116.5,24,49.4,988,27.2,46,67.6,14.3,0.117,12.6,6.96,21.5,0.781,0.8,1.77,1
53.9740263,-8.3465911,405,14.7,40.4,358,14.75,22.1,74.4,33.8,0.359,5.7,1.18,84.7,0.654,5.74,2.62,-1
53.7185656,-8.7439672,72.6,3,6.36,89.6,4.31,4.3,26.1,12.75,0.0512,1.425,1.27,18.85,0.239,0.44,4.88,1
53.7288552,-7.8118295,393,52.6,33.3,6530,53,63.4,300,20.7,0.1945,26.2,2.41,70.2,0.597,2.95,4.76,-1
53.7393398,-8.7735374,34.1,8.13,14.4,109,9.06,14.3,40.1,14.1,0.0554,2.06,1.18,16.15,0.229,2.43,4.02,1
53.8640196,-8.5006729,34.6,11.8,55.2,337,14.65,16.8,38,8.19,0.1015,5.14,0.66,13.2,0.244,0.76,1.02,1
53.8332364,-8.5621991,46.6,13.9,26.9,172,15.95,22.2,48.7,8.46,0.118,4.26,0.5,39,0.284,1.67,1.445,1
54.0108309,-8.1124886,289,25.4,17.4,338,13.3,47.2,63.5,3.53,0.1115,6.6,1.77,19.8,0.228,1.23,2.96,1
53.4286145,-6.6263385,95.6,21.7,13.35,215,15.95,44.3,62.3,6.08,0.113,4.87,1.35,22.7,0.517,0.86,1.57,1
53.6684572,-8.746988,15.8,1.67,3.72,24.8,2.3,2.4,11.7,4.85,0.0783,3.15,0.7,26.1,0.204,0.39,0.146,1
53.2923735,-8.7379542,38.8,8.77,8.84,572,11,8.4,38.7,72.3,0.0584,2.53,1.66,15.05,0.252,0.37,2.44,-1
53.8873011,-8.0760392,77.3,24.7,23.8,1430,34.5,49.4,112.5,10.35,0.1505,9.78,1.99,30.5,1.62,3.62,1.255,-1
53.2539625,-8.4875479,10.5,0.74,3.29,7.6,1.24,1.8,35,2.58,0.1505,0.206,0.23,47.5,0.6,0.72,0.085,1
