Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.6399357,-9.6477647,147,26.8,7.82,3260,16.45,37,25.5,4.03,0.219,22.8,1.46,51.3,0.354,0.85,1.75,C3
53.6069661,-9.5180863,72.1,22,3.2,4050,5.27,42,13.5,4.64,0.197,22.6,0.84,27.2,0.303,0.86,0.806,C3
53.5334124,-9.5008242,573,12.75,5.17,7530,4.26,28.2,30.4,11,0.1735,37.8,1.66,27.7,0.325,0.78,0.526,C3
53.5359608,-9.6055631,178.5,12.4,10.8,5850,13.3,14.5,35.7,10.05,0.194,10,0.92,78.5,0.47,0.92,0.401,C3
53.4960794,-9.3719915,164,0.89,2.95,23.9,0.79,1.5,15,3.88,0.0906,0.274,0.35,82.2,0.658,0.34,0.085,C3
53.4341145,-9.4287534,40.9,4.12,2.8,758,1.71,6.8,10.5,2.01,0.115,3.77,0.99,104,0.228,0.53,1.64,C3
53.6419568,-9.5832147,344,9.41,5.01,8680,3.71,21.4,16.7,11.6,0.273,7.8,1.27,50.3,0.521,0.99,1.25,C3
53.5059053,-9.5138095,107,11.5,13,9140,10.9,18,94.3,19.45,0.253,18.1,1.51,170,0.351,0.81,1.055,C3
53.441944,-9.6154408,47.9,22.6,6.19,1890,3.69,40.3,14,5.04,0.1705,21,2.27,36.1,0.315,0.85,1.375,C3
53.3148732,-9.6358925,20.4,7.93,7.36,60.5,4.48,19.4,7.2,5,0.0963,1.42,0.56,17.95,0.124,0.57,2.52,C3
53.5164497,-9.6098007,51.9,33.3,19.8,1590,18.5,72.1,112.5,4.4,0.379,20.9,1.57,40.4,0.228,1.49,2.18,C3
53.3019469,-9.644699,18.2,6.63,17,73.1,3.05,13.2,10.9,6.13,0.0725,0.969,0.44,13.35,0.118,0.69,1.615,C3
53.41782,-9.1557986,147.5,47.1,27.1,783,39.5,67.1,116,8.45,0.245,16.8,0.84,40.6,0.253,0.98,1.96,C3
53.3930906,-9.1550234,167,60.6,16.35,283,31.4,66.5,62.8,6.68,0.256,10.9,0.47,45.5,0.121,1.24,2.66,C3
53.3210207,-9.0557583,70.8,39.1,32.5,470,24.6,46.1,106.5,11.7,0.294,5.34,1.72,51.3,0.43,2.13,2.7,C3
53.305313,-9.0679869,99,26.9,30.9,800,20.2,36.1,117,13,0.325,6.85,1.02,43.6,0.81,2.8,1.935,C3
53.502543,-9.193292,67.2,38.2,16.35,715,49.6,84.6,145,19.5,0.1235,7.61,1.85,44.1,0.695,1.08,2.47,C3
53.631118,-8.835181,51.8,8.78,32.2,173,9.35,13.1,34.3,34.5,0.1,3.9,0.97,39.4,0.276,0.51,0.957,C3
53.6649079,-8.5872638,28.8,12.1,30.6,586,12.95,16.7,65,14.9,0.0903,3.93,0.91,35,0.357,1.43,1.14,C3
53.4906391,-9.2136595,86.5,41.7,24.6,1720,46.5,69.4,130.5,32.5,0.1565,8.04,1.69,42.3,0.869,0.98,2.3,C3
54.0725201,-8.1066207,109,30.3,34.5,387,15.65,62.2,50.9,8.17,0.256,10.05,2.46,29.6,0.748,1.58,1.845,C3
53.9399881,-8.8067385,280,2.27,8.17,548,2.41,5.7,10,11.55,0.0417,1.75,0.52,8.12,0.169,0.41,1.685,C3
53.1107984,-7.8865482,59.9,14.95,16.15,1135,22.1,20.7,64.7,10.45,0.0898,6.22,0.96,33.9,0.534,3.39,0.915,C3
53.4321563,-8.829697,23.4,11.25,15.8,160.5,12.25,16.7,46.5,3.42,0.0534,2.95,0.68,15.05,0.207,2.85,0.859,C3
54.0700842,-8.1941537,149,29.1,26.9,235,17.85,81.2,54.2,11.9,0.181,7.9,5.6,32.1,0.812,1.51,4,C3
53.3454509,-6.9108542,138.5,27.7,33.4,391,40.6,38.9,89.8,17.8,0.111,7.44,1.98,29.3,0.608,0.56,4.44,C3
53.9524601,-8.6167922,134.5,4.17,5.65,148,2.17,10.8,9.8,22.8,0.101,0.885,0.73,21.2,0.228,0.52,0.373,C3
53.9600349,-8.7479836,165,11.95,58,256,9.77,19.4,34,12.4,0.0944,4.08,0.83,18.65,0.353,1.48,1.605,C3
53.9009767,-8.7162132,182.5,7.94,7.83,271,3.83,12.4,9.5,14.65,0.0913,1.515,0.7,16.6,0.213,0.56,0.394,C3
53.9394094,-8.7773233,268,5.78,8.36,813,5.13,11.9,23.7,8.95,0.0586,2.45,1.51,13.25,0.196,0.38,2.36,C3
53.5651264,-7.1123192,159.5,23.8,23.2,1300,46,28.9,284,12.25,0.138,11.5,1.65,132.5,1.13,0.6,0.7,C3
53.8857762,-8.6512903,168.5,10.2,39.3,314,13.05,16.6,39.9,9.08,0.0741,4.6,0.76,16.65,0.321,1.3,5.9,C3
53.9245552,-8.7186259,189.5,1.84,6.66,157,2.67,3.8,19.1,6.46,0.0589,1.895,0.28,13.05,0.151,0.34,0.233,C3
53.990129,-8.1407895,112.5,19.05,37.5,270,20.2,29.7,45.3,9.86,0.0792,5.46,1.13,16.85,0.288,0.9,1.96,C3
53.7065701,-8.741242,29.5,11.4,19.6,949,12.55,14.8,51,22.6,0.0485,3.88,1.24,48.4,0.301,1.24,1.225,C3
53.8297013,-8.1669364,73.4,35.3,74.1,1170,45.8,52,112,17.45,0.128,12.75,1.99,27.6,0.683,1.14,2.24,C3
53.7070905,-8.7740364,37.4,10.95,13.4,473,15.9,14.2,66.5,12.65,0.0536,4.15,1.56,83.9,0.351,0.62,1.53,C3
53.7387861,-8.6503807,61.8,17.75,25.5,287,15.15,24.9,39.1,19.1,0.0556,3.64,1.12,20.5,0.227,0.63,3.23,C3
54.0850438,-8.1064998,61.9,25.6,46.3,191,10.4,53,25,8.95,0.1425,4.68,4.34,28.1,0.629,1.7,3.12,C3
53.9735212,-8.285797,91.7,28.2,19.8,701,25.6,44.7,82.9,15.85,0.1335,9.47,2.32,43.9,0.374,3.63,1.38,C3
53.7613416,-8.8051769,35.3,10.65,25.4,96.6,7.19,19.9,26.3,15.7,0.0594,3.02,2.55,11.6,0.184,0.67,1.28,C3
53.9397886,-8.316965,43.9,30.3,26.7,761,47,52.3,69.5,32.8,0.139,13.75,3.44,31,0.875,1.13,1.705,C3
53.9789105,-8.2320014,65.4,29.7,23.2,921,36.3,48.8,98.6,27.5,0.323,13.55,4.47,38.2,0.953,1.1,2.24,C3
53.9803377,-8.1396287,120,21.4,25.6,171,20.4,43.3,48.4,7.32,0.1145,4.78,0.88,20.5,0.32,1.06,4.39,C3
54.1038516,-8.1375347,83,29.2,41.3,65.7,15.75,50.5,27.3,8.68,0.221,3.17,1.66,26.6,0.701,1.53,1.875,C3
53.9381484,-8.7141086,115.5,6.64,47.5,68.5,4,13.7,17.6,11.6,0.068,3.82,0.7,10.85,0.14,0.49,0.626,C3
53.9712538,-8.3226741,57.8,14.65,18.1,432,15.35,22.1,51.7,9.54,0.1325,6.31,1.4,38.1,0.41,5.11,1.065,C3
53.6635072,-8.7751741,64.8,23.4,26.5,572,12.5,45.1,55.6,16.9,0.211,7.77,1.41,43.6,0.334,0.8,11,C3
53.2221974,-8.5241069,52.4,20.4,23.2,2020,110,35.9,231,14.45,0.1325,25.8,1.02,32.2,0.852,0.72,0.922,C3
53.1795036,-8.4027525,74.4,21.2,24.6,3570,90.5,34.1,97.3,12.9,0.125,15.05,1.69,29.4,0.677,0.63,1.145,C3
53.1905615,-8.4416483,70.2,18.85,17.8,2820,64.5,32.6,161,18.95,0.155,15.15,2.11,34.3,0.616,0.78,0.768,C3
53.1675759,-8.5557537,75.3,23.3,19.15,1735,45,33.6,79.8,29,0.1945,15.2,1.01,31.1,0.607,0.73,1.23,C3
53.7734876,-8.5331601,42.5,5.31,13.85,125.5,8.62,9.2,22.4,8.39,0.0642,1.67,0.64,27.3,0.466,5.77,1.84,C3
