Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.1488293,-8.0732548,17.1,0.9,2.51,17.8,1.37,2.1,41.5,2.68,0.1005,0.256,0.24,25.9,0.464,0.68,0.106,C6
53.1473773,-7.9869882,15,0.99,2.65,21,1.4,2.4,34.4,2.05,0.0789,0.354,0.2,30.5,0.477,0.5,0.088,C6
53.2398987,-7.9950026,14.1,1,2.59,9.2,1.56,1.9,18.9,1.94,0.0875,0.281,0.26,39.3,0.414,0.46,0.125,C6
53.251901,-7.9783564,11.9,1.01,2.82,9.9,1.53,2.3,15.8,2.23,0.0664,0.329,0.28,48.4,0.532,0.53,0.104,C6
53.1248062,-7.5105947,42.8,2.49,2.09,21.4,2.2,2.7,6.4,1.38,0.056,0.634,0.21,11.15,0.231,0.43,0.303,C6
53.6488243,-7.9315296,12.8,1.08,2.82,20.8,1.35,1.9,28.5,1.19,0.033,0.281,0.41,14.45,0.222,0.31,0.17,C6
53.1493775,-7.8921109,9.2,0.83,2.84,12.4,1.24,1.6,27.7,2.49,0.0858,0.233,0.26,40.4,0.393,0.41,0.095,C6
53.8851358,-7.6797973,13.2,1.04,3.59,11.5,1.64,3,37,2.17,0.1635,0.343,0.23,42.2,0.662,0.8,0.071,C6
53.7581394,-7.4113933,8.4,1.55,2.65,17.6,2.07,3,9.3,1.59,0.046,0.471,0.33,14.5,0.236,0.42,0.191,C6
53.6307072,-7.5864105,7.6,0.92,2.36,22,1.09,1.5,16.6,1.07,0.0348,0.259,0.21,13.5,0.149,0.27,0.073,C6
53.6042598,-7.6284982,15.8,0.66,1.64,11.3,1.36,1.5,12.3,0.85,0.0325,0.214,0.24,9.48,0.198,0.37,0.094,C6
53.2184718,-7.8111138,21,1.4,3.19,35.3,2.71,3.4,13.4,3.52,0.1055,0.674,0.53,49.3,0.526,0.68,0.39,C6
53.6643177,-7.4442439,9.3,1,2.72,9.4,1.03,1.7,43.6,1.65,0.0746,0.253,0.22,17,0.256,0.44,0.078,C6
53.7101447,-8.0113895,14.3,0.69,5.44,12.2,1.02,1.6,29.2,0.8,0.0332,0.212,0.5,11.55,0.202,0.45,0.062,C6
53.8725414,-7.6770051,13.2,0.85,2.86,10.5,1.29,2.5,27.3,2.96,0.155,0.335,0.23,38.2,0.551,0.92,0.08,C6
53.1130585,-7.477994,20.3,1.42,1.94,17.6,1.04,2.5,12.4,1,0.0708,0.26,0.21,14.55,0.294,0.35,0.129,C6
53.4358818,-7.3554022,8.6,0.81,1.79,13.1,1.49,1.7,19.7,1.36,0.0578,0.273,0.3,15.6,0.289,0.37,0.068,C6
53.1337144,-7.5454845,21,1.62,3.68,25.9,1.3,2.4,13.9,0.9,0.0324,0.332,0.27,8.21,0.247,0.26,0.2,C6
53.3785359,-7.319229,18.9,0.73,1.62,40.4,1.2,1.3,12.4,1.49,0.0549,0.236,0.54,15.8,0.316,0.4,0.844,C6
53.1349379,-7.5725745,15.8,1.39,1.81,7.4,0.96,1.9,9.4,0.76,0.0353,0.241,0.26,7.01,0.238,0.28,0.132,C6
53.4915377,-7.2426152,6.1,0.53,2.01,16.8,0.76,1,10.9,1.1,0.0425,0.168,0.13,14.15,0.22,0.26,0.052,C6
53.1651615,-7.3528743,18.8,1.93,3.07,34.2,3.13,2.5,20.6,2.6,0.047,0.67,0.3,15.7,0.255,0.38,0.159,C6
53.5264968,-7.0199243,7,0.37,1.09,10,0.81,0.3,3.3,0.22,0.0042,0.143,0.23,0.621,0.046,0.03,0.051,C6
53.5399102,-7.0230535,2.6,0.38,0.64,5.1,0.43,0.5,3.4,0.19,0.0045,0.075,0.06,0.732,0.021,0.02,0.018,C6
53.4692462,-6.9932351,7.8,0.43,1.43,9.5,2.39,0.8,9,0.44,0.0171,0.115,0.43,6.07,0.113,0.12,0.041,C6
