Latitude,Longitude,Ba,Cr,Cu,Mn,Ni,V,Zn,As,Bi,Co,Mo,Pb,Sb,Sn,U,Label
53.6460882,-9.4909699,37.7,9.58,1.77,35.8,2.23,23.2,7.5,0.41,0.0748,0.921,0.15,7.97,0.16,0.31,0.307,C2
53.6224009,-9.5574384,50.3,12.5,2.89,34.9,4.32,12.9,10,0.47,0.0558,1.27,0.1,7.37,0.159,0.38,0.34,C2
53.6238735,-9.6151557,23.6,2.5,4.89,6.3,2.27,5,10.2,2.69,0.196,0.348,0.66,35.6,0.414,0.85,0.314,C2
53.6473924,-9.4123007,92.8,2.59,7.67,20.8,1.24,4.6,13.3,0.84,0.0696,0.555,0.23,9.61,0.162,0.39,0.637,C2
53.6801461,-9.4674422,62.5,4.49,3.58,12.6,3.61,5,8.9,2.42,0.1415,0.386,0.58,26.7,0.265,0.69,0.3,C2
53.6595893,-9.6192894,25.9,20.3,5.27,43.5,14.55,14.9,11.2,5.43,0.1535,1.535,0.97,27.2,0.306,0.74,0.308,C2
53.3738017,-9.6334166,6.8,0.81,3.6,6.7,0.81,2,9.7,1.43,0.0686,0.161,0.55,13.5,0.249,0.39,0.152,C2
53.5698188,-9.5202878,41.3,19.85,8.58,214,6.1,73,33.2,28.2,0.1475,4.04,1,33.5,0.557,0.82,0.341,C2
53.5327554,-9.5460476,95.8,4.19,5.84,81.3,3.66,10.3,12.4,3.6,0.1815,1.165,0.81,34.8,0.393,1.06,0.273,C2
53.4805284,-9.6155054,69.6,6.47,18.8,45.3,3.12,17.3,14.2,5,0.283,1.33,0.78,48.8,0.408,1.1,3.55,C2
53.5719751,-9.5860641,68.9,3.15,2.97,35.3,0.69,21.4,6,1.21,0.0639,0.439,0.3,9.28,0.152,0.44,0.495,C2
53.6789274,-9.377881,88.1,14,8.73,379,2.35,35.2,15,3.8,0.1225,1.74,0.49,17.55,0.546,0.42,0.8,C2
53.335878,-9.6071359,10,1.94,3.41,7.6,1.06,4,6.9,1.23,0.0516,0.265,0.62,10.85,0.154,0.3,1.025,C2
53.6648337,-9.3759537,65.3,4.19,8.32,85.2,1.11,12.5,13,1.72,0.0853,0.718,0.35,9.21,0.239,0.45,0.656,C2
53.661789,-9.5284974,12,1.38,4.56,11.4,2.07,4.3,18.3,3.76,0.259,0.267,0.69,59,0.625,1.33,0.194,C2
53.6068063,-9.5036972,31,13.1,2.94,26.4,3.33,20.7,6.2,1.37,0.0916,0.8,0.23,12.4,0.177,0.45,0.335,C2
53.6778205,-9.6496215,30.4,12.9,6.85,8,17.4,5.4,10.3,2.62,0.189,1.205,0.64,41.7,0.349,0.95,0.296,C2
53.5533366,-9.6499963,12.3,5.88,4.63,16.2,1.66,24.5,9.6,2.12,0.1405,0.284,0.79,28.7,0.313,0.75,0.251,C2
53.6639283,-9.4339885,33.5,4.4,3.48,19.9,1.93,7.4,10.4,2.3,0.154,0.475,0.57,25.8,0.257,0.65,0.414,C2
53.6065088,-9.4719741,55.3,11.45,2.35,16.7,3.83,22.5,3.7,1.2,0.0462,0.992,0.16,6.74,0.136,0.24,0.297,C2
53.5884326,-9.5241575,27.3,3.71,4.09,143,1.52,7.4,10.1,2.81,0.1385,0.353,0.44,23.4,0.258,0.56,0.293,C2
53.4810397,-9.5867224,36.4,1.19,5.66,17.8,2.6,5.1,25.4,1.78,0.168,0.824,0.9,38,0.373,0.87,0.311,C2
53.6778762,-9.4345227,194,5.1,3.81,491,2.23,8.6,14.8,3.72,0.1555,1.675,0.41,31.8,0.392,0.66,0.295,C2
53.3549344,-9.6292257,13.5,2.42,2.39,13.8,1.1,6,6.2,0.41,0.045,0.359,0.3,12.65,0.073,0.36,0.776,C2
53.6259136,-9.4976349,45.3,5.27,2.57,7.1,2.87,10.4,13.5,1.8,0.0826,0.371,0.36,14.05,0.118,0.32,0.536,C2
53.6454362,-9.5535688,23.8,7.62,2.42,8.8,1.58,14.7,4.1,1.62,0.12,0.23,0.24,19.35,0.176,0.55,0.608,C2
53.5882262,-9.4317416,44.6,0.98,4.82,37.4,1.4,3.1,20.8,1.46,0.0845,0.272,0.5,18.15,0.293,0.6,0.119,C2
53.6095618,-9.6505407,36.8,7.06,2.97,26.2,1.97,14.9,6.1,1.56,0.0814,0.543,0.45,14.65,0.168,0.44,0.709,C2
53.6235923,-9.5277366,51.4,6.41,4.85,10.2,2.81,7.8,9.4,2.34,0.1915,0.477,0.46,44.5,0.387,1.04,0.32,C2
53.6883567,-9.3192739,100.5,2.89,6.56,121.5,2.96,5.4,12.5,1.24,0.0914,1.055,0.52,17.6,0.28,0.7,0.387,C2
